Interval,Transfer,Bitrate,Retr,Cwnd
154.00,2.17,18.2,0,154.0
155.00,2.17,18.2,0,154.0
156.00,2.17,18.2,0,154.0
157.00,2.17,18.2,0,154.0
158.00,2.17,18.2,0,154.0
159.00,2.17,18.2,0,154.0
160.00,2.17,18.2,0,154.0
161.00,2.17,18.2,0,154.0
162.00,2.17,18.2,0,154.0
163.00,1.86,15.6,0,154.0
164.00,2.17,18.2,0,154.0
165.00,2.17,18.2,0,154.0
166.00,2.17,18.2,0,154.0
167.00,2.17,18.2,0,154.0
168.00,2.17,18.2,0,154.0
169.00,1.86,15.6,0,154.0
170.00,2.17,18.2,0,154.0
171.00,2.17,18.2,0,154.0
172.00,1.86,15.6,0,154.0
173.00,2.17,18.2,0,154.0
174.00,2.17,18.2,0,154.0
175.00,2.17,18.2,0,154.0
176.00,2.17,18.2,0,154.0
177.00,1.86,15.6,0,154.0
178.00,2.17,18.2,0,154.0
179.00,1.86,15.6,0,154.0
180.00,2.17,18.2,0,154.0
181.00,2.17,18.2,0,154.0
182.00,1.86,15.6,0,154.0
183.00,2.17,18.2,0,154.0
184.00,2.17,18.2,0,154.0
185.00,1.86,15.6,0,154.0
186.00,2.17,18.2,0,154.0
187.00,2.17,18.2,0,154.0
188.00,2.17,18.2,0,154.0
189.00,1.86,15.6,0,154.0
190.00,2.17,18.2,0,154.0
191.00,2.17,18.2,0,154.0
192.00,1.86,15.6,0,154.0
193.00,2.17,18.2,0,154.0
194.00,2.17,18.2,0,154.0
195.00,1.86,15.6,0,154.0
196.00,2.17,18.2,0,154.0
197.00,2.17,18.2,0,154.0
198.00,2.17,18.2,0,154.0
199.00,1.86,15.6,0,154.0
200.00,1.86,15.6,0,154.0
201.00,2.17,18.2,0,154.0
202.00,1.86,15.6,0,154.0
203.00,2.17,18.2,0,154.0
204.00,1.86,15.6,0,154.0
205.00,2.17,18.2,0,154.0
206.00,2.17,18.2,0,154.0
207.00,1.86,15.6,0,154.0
208.00,2.17,18.2,0,154.0
209.00,1.86,15.6,0,154.0
210.00,2.17,18.2,0,154.0
211.00,2.17,18.2,0,154.0
212.00,1.86,15.6,0,154.0
213.00,2.17,18.2,0,154.0
214.00,2.17,18.2,0,154.0
215.00,1.86,15.6,0,154.0
216.00,2.17,18.2,0,154.0
217.00,2.17,18.2,0,154.0
218.00,2.17,18.2,0,154.0
219.00,1.86,15.6,0,154.0
220.00,2.17,18.2,0,154.0
221.00,1.86,15.6,0,154.0
222.00,2.17,18.2,0,154.0
223.00,2.17,18.2,0,154.0
224.00,1.86,15.6,0,154.0
225.00,2.17,18.2,0,154.0
226.00,2.17,18.2,0,154.0
227.00,2.17,18.2,0,154.0
228.00,2.17,18.2,0,154.0
229.00,1.86,15.6,0,154.0
230.00,2.17,18.2,0,154.0
231.00,2.17,18.2,0,154.0
232.00,1.86,15.6,0,154.0
233.00,2.17,18.2,0,154.0
234.00,2.17,18.2,0,154.0
235.00,1.86,15.6,0,154.0
236.00,2.17,18.2,0,154.0
237.00,1.86,15.6,0,154.0
238.00,2.17,18.2,0,154.0
239.00,2.17,18.2,0,154.0
240.00,1.86,15.6,0,154.0
241.00,2.17,18.2,0,154.0
242.00,2.17,18.2,0,154.0
